nis_code,postal_code,name
25110,1410,Waterloo
25113,1474,Ways
25115,1325,Dion-Valmont
25116,1367,Gérompont
25122,1367,Ramillies
31001,8211,Aartrijke
31002,8310,Assebroek
31003,8730,Beernem
31004,8370,Blankenberge
31005,8000,Bruges
31006,8340,Damme
31007,8380,Dudzele
31009,8020,Hertsberge
31010,8340,Hoeke
31011,8377,Houtave
31012,8490,Jabbeke
31013,8300,Knokke
31014,8000,Koolkerke
31015,8340,Lapscheure
31016,8380,Lissewege
31017,8210,Loppem
31018,8377,Meetkerke
31019,8340,Moerkerke
31020,8377,Nieuwmunster
31021,8730,Oedelem
31022,8020,Oostkamp
31023,8340,Oostkerke
31024,8301,Ramskapelle
31025,8020,Ruddervoorde
31026,8340,Sijsele
31027,8200,Sint-Andries
31028,8620,Sint-Joris
31029,8310,Sint-Kruis
31030,8200,Sint-Michiels
31031,8490,Snellegem
31032,8490,Stalhille
31033,8820,Torhout
31034,8370,Uitkerke
31035,8490,Varsenare
31036,8210,Veldegem
31037,8020,Waardamme
31038,8420,Wenduine
31039,8300,Westkapelle
31040,8210,Zedelgem
31041,8490,Zerkegem
31042,8377,Zuienkerke
32001,8600,Beerst
32002,8680,Bovekerke
32003,8600,Diksmuide
32005,8610,Handzame
32006,8650,Houthulst
32008,8600,Keiem
32009,8650,Klerken
32010,8680,Koekelare
32011,8610,Kortemark
32012,8600,Lampernisse
32013,8600,Leke
32014,8647,Lo
32015,8650,Merkem
32016,8600,Nieuwkapelle
32017,8647,Noordschote
32018,8340,Oostkerke
32019,8600,Oudekapelle
32020,8647,Pollinkhove
32021,8647,Reninge
32022,8600,Sint-Jacobs-Kapelle
32023,8600,Stuivekenskerke
32024,8600,Vladslo
32025,8610,Werken
32026,8600,Woumen
32027,8610,Zarren
32028,8600,Driekapellen
33001,8980,Beselare
33002,8920,Bikschote
33003,8904,Boezinge
33004,8900,Brielen
33005,8900,Dikkebus
33006,8951,Dranouter
33007,8906,Elverdinge
33008,8980,Geluveld
33009,8940,Geluwe
33010,8902,Hollebeke
33011,8900,Ypres
33012,8956,Kemmel
33013,8972,Krombeke
33014,8920,Langemark
33015,8958,Loker
33016,8957,Mesen
33017,8950,Nieuwkerke
33018,8640,Oostvleteren
33019,8980,Passendale
33020,8920,Poelkapelle
33021,8970,Poperinge
33022,8972,Proven
33023,8970,Reningelst
33024,8972,Roesbrugge-Haringe
33025,8900,Sint-Jan
33026,8908,Vlamertinge
33027,8902,Voormezele
33028,8978,Watou
33029,8940,Wervik
33030,8954,Westouter
33031,8640,Westvleteren
33032,8953,Wijtschate
33033,8640,Woesten
33034,8952,Wulvergem
33035,8400,Zandvoorde
33036,8902,Zillebeke
33037,8980,Zonnebeke
33038,8904,Zuidschote
34001,8511,Aalbeke
34002,8570,Anzegem
34003,8580,Avelgem
34004,8531,Bavikhove
34005,8510,Bellegem
34006,8791,Beveren
34007,8501,Bissegem
34008,8583,Bossuit
34009,8540,Deerlijk
34010,8792,Desselgem
34011,8570,Gijzelbrechtegem
34012,8560,Gullegem
34013,8530,Harelbeke
34014,8551,Heestert
34015,8587,Helkijn
34016,8501,Heule
34017,8531,Hulste
34018,8570,Ingooigem
34019,8572,Kaster
34020,8581,Kerkhove
34021,8510,Kooigem
34022,8500,Kortrijk
34023,8520,Kuurne
34024,8930,Lauwe
34025,8860,Lendelede
34026,8510,Marke
34027,8930,Menen
34028,8552,Moen
34029,8560,Moorsele
34030,8553,Otegem
34031,8582,Outrijve
34032,8930,Rekkem
34033,8510,Rollegem
34034,8554,Sint-Denijs
34035,8793,Sint-Eloois-Vijve
34036,8587,Spiere
34037,8573,Tiegem
34038,8570,Vichte
34039,8581,Waarmaarde
34040,8790,Waregem
34041,8560,Wevelgem
34042,8550,Zwevegem
35001,8480,Bekegem
35002,8450,Bredene
35003,8480,Eernegem
35004,8460,Ettelgem
35005,8470,Gistel
35006,8480,Ichtegem
35007,8420,Klemskerke
35008,8432,Leffinge
35009,8434,Lombardsijde
35010,8433,Mannekensvere
35011,8430,Middelkerke
35012,8470,Moere
35013,8400,Ostend
35014,8460,Oudenburg
35015,8460,Roksem
35016,8433,Schore
35017,1541,Sint-Pieters-Kapelle
35018,8433,Slijpe
35019,8470,Snaaskerke
35020,8400,Stene
35021,8421,Vlissegem
35022,8434,Westende
35023,8460,Westkerke
35024,8431,Wilskerke
35025,8680,Zande
35026,8400,Zandvoorde
35027,8470,Zevekote
35029,8420,De Haan
36001,8850,Ardooie
36003,8890,Dadizele
36005,8830,Gits
36006,8830,Hooglede
36007,8770,Ingelmunster
36008,8870,Izegem
36009,8870,Kachtem
36010,8880,Ledegem
